l2_regularization,learning_rate,loss,max_depth,max_iter,min_samples_leaf,quantile,score
0,0.3,quantile,15,100,50,0.7,-10.364801868789987
0,0.3,quantile,15,100,50,0.8,-11.025629039226134
0,0.3,quantile,15,100,50,0.9,-13.503435884708129
0,0.3,quantile,15,100,10,0.1,-14.346650424038055
0,0.3,quantile,15,100,10,0.2,-12.790251367036412
0,0.3,quantile,15,100,10,0.3,-11.553415117979831
0,0.3,quantile,15,100,10,0.4,-10.588510689173138
0,0.3,quantile,15,100,10,0.5,-10.243450638985527
0,0.3,quantile,15,100,10,0.6,-10.362113931340339
0,0.3,quantile,15,100,10,0.7,-10.676056603113057
0,0.3,quantile,15,100,10,0.8,-10.907842940507424
0,0.3,quantile,15,100,10,0.9,-12.729278269139773
0,0.3,quantile,15,100,20,0.1,-14.131147617476017
0,0.3,quantile,15,100,20,0.2,-12.599707261275082
0,0.3,quantile,15,100,20,0.3,-11.456561318302068
0,0.3,quantile,15,100,20,0.4,-10.555921451335788
0,0.3,quantile,15,100,20,0.5,-10.353598986778934
0,0.3,quantile,15,100,20,0.6,-10.19236789925284
0,0.3,quantile,15,100,20,0.7,-10.60617799106694
0,0.3,quantile,15,100,20,0.8,-11.166345532088554
0,0.3,quantile,15,100,20,0.9,-13.04372330519034
0,0.3,quantile,15,100,30,0.1,-13.886927282282674
0,0.3,quantile,15,100,30,0.2,-12.446352819268302
0,0.3,quantile,15,100,30,0.3,-11.37641427979518
0,0.3,quantile,15,100,30,0.4,-10.620924993102188
0,0.3,quantile,15,100,30,0.5,-10.185283181657283
0,0.3,quantile,15,100,30,0.6,-10.324115297705598
0,0.3,quantile,15,100,30,0.7,-10.298282079676602
0,0.3,quantile,15,100,30,0.8,-11.036956210935333
0,0.3,quantile,15,100,30,0.9,-13.156259921783908
0,0.3,quantile,15,100,40,0.1,-13.73712698728698
0,0.3,quantile,15,100,40,0.2,-12.320220644369154
0,0.3,quantile,15,100,40,0.3,-11.25891535201188
0,0.3,quantile,15,100,40,0.4,-10.504330269244294
0,0.3,quantile,15,100,40,0.5,-10.388375782167515
0,0.3,quantile,15,100,40,0.6,-10.295155154412779
0,0.3,quantile,15,100,40,0.7,-10.439058925835083
0,0.3,quantile,15,100,40,0.8,-11.033574594409377
0,0.3,quantile,15,100,40,0.9,-13.280084646647207
0,0.3,quantile,15,100,50,0.1,-13.653186815323398
0,0.3,quantile,15,100,50,0.2,-12.226254869570187
0,0.3,quantile,15,100,50,0.3,-11.1787194977805
0,0.3,quantile,15,100,50,0.4,-10.647878800291164
0,0.3,quantile,15,100,50,0.5,-10.353714843672806
0,0.3,quantile,15,100,50,0.6,-10.117486513819905
0,0.3,quantile,15,100,50,0.7,-10.388953316274463
0,0.3,quantile,15,100,50,0.8,-11.07243976414722
0,0.3,quantile,15,100,50,0.9,-13.460700520230375
0,0.3,quantile,15,100,10,0.1,-14.162508015752156
0,0.3,quantile,15,100,10,0.2,-12.694707139298973
0,0.3,quantile,15,100,10,0.3,-11.495890422647982
0,0.3,quantile,15,100,10,0.4,-10.686437606123807
0,0.3,quantile,15,100,10,0.5,-10.196481020497687
0,0.3,quantile,15,100,10,0.6,-10.337005429909704
0,0.3,quantile,15,100,10,0.7,-10.49007840122379
0,0.3,quantile,15,100,10,0.8,-10.889593665771509
0,0.3,quantile,15,100,10,0.9,-12.679738455661607
0,0.3,quantile,15,100,20,0.1,-13.826421500104862
0,0.3,quantile,15,100,20,0.2,-12.414540183767098
0,0.3,quantile,15,100,20,0.3,-11.320424832570273
0,0.3,quantile,15,100,20,0.4,-10.604334202395538
0,0.3,quantile,15,100,20,0.5,-10.295439005990668
0,0.3,quantile,15,100,20,0.6,-10.229613537666825
0,0.3,quantile,15,100,20,0.7,-10.383515114251548
0,0.3,quantile,15,100,20,0.8,-10.915677054183039
0,0.3,quantile,15,100,20,0.9,-13.007894937377623
0,0.3,quantile,15,100,30,0.1,-13.625697077435257
0,0.3,quantile,15,100,30,0.2,-12.232527113012202
0,0.3,quantile,15,100,30,0.3,-11.255075391054742
0,0.3,quantile,15,100,30,0.4,-10.628346075634155
0,0.3,quantile,15,100,30,0.5,-10.260899020601117
0,0.3,quantile,15,100,30,0.6,-10.288708761045147
0,0.3,quantile,15,100,30,0.7,-10.376395396716495
0,0.3,quantile,15,100,30,0.8,-11.029397211141756
0,0.3,quantile,15,100,30,0.9,-13.012400072044937
0,0.3,quantile,15,100,40,0.1,-13.53958673621031
0,0.3,quantile,15,100,40,0.2,-12.158645312927522
0,0.3,quantile,15,100,40,0.3,-11.189399168283753
0,0.3,quantile,15,100,40,0.4,-10.60702111465243
0,0.3,quantile,15,100,40,0.5,-10.257038194526583
0,0.3,quantile,15,100,40,0.6,-10.200075169513473
0,0.3,quantile,15,100,40,0.7,-10.400000141478728
0,0.3,quantile,15,100,40,0.8,-10.991111363482942
0,0.3,quantile,15,100,40,0.9,-13.078407370801532
0,0.3,quantile,15,100,50,0.1,-13.640156008527569
0,0.3,quantile,15,100,50,0.2,-12.16099825878027
0,0.3,quantile,15,100,50,0.3,-11.200448602618899
0,0.3,quantile,15,100,50,0.4,-10.665074184677412
0,0.3,quantile,15,100,50,0.5,-10.227415675708178
0,0.3,quantile,15,100,50,0.6,-10.095519750402069
0,0.3,quantile,15,100,50,0.7,-10.386414574388883
0,0.3,quantile,15,100,50,0.8,-11.070378263457693
0,0.3,quantile,15,100,50,0.9,-13.433526938383746
0,0.3,quantile,15,200,10,0.1,-14.360208204255994
0,0.3,quantile,15,200,10,0.2,-12.673231504624606
0,0.3,quantile,15,200,10,0.3,-11.4668813758877
0,0.3,quantile,15,200,10,0.4,-10.623544414793656
0,0.3,quantile,15,200,10,0.5,-10.135402150432315
0,0.3,quantile,15,200,10,0.6,-10.224253185908815
0,0.3,quantile,15,200,10,0.7,-10.422402319587276
0,0.3,quantile,15,200,10,0.8,-11.068186103801294
0,0.3,quantile,15,200,10,0.9,-12.823165191056628
0,0.3,quantile,15,200,20,0.1,-14.338464532295035
0,0.3,quantile,15,200,20,0.2,-12.60872104103842
0,0.3,quantile,15,200,20,0.3,-11.445539113187907
0,0.3,quantile,15,200,20,0.4,-10.538913874942583
0,0.3,quantile,15,200,20,0.5,-10.237176293446039
0,0.3,quantile,15,200,20,0.6,-10.103789206990125
0,0.3,quantile,15,200,20,0.7,-10.374009313538114
0,0.3,quantile,15,200,20,0.8,-10.907545769360802
0,0.3,quantile,15,200,20,0.9,-12.952088082757962
0,0.3,quantile,15,200,30,0.1,-14.179542750044428
0,0.3,quantile,15,200,30,0.2,-12.575352733689707
0,0.3,quantile,15,200,30,0.3,-11.361084081453006
0,0.3,quantile,15,200,30,0.4,-10.528472186767896
0,0.3,quantile,15,200,30,0.5,-10.294637737309731
0,0.3,quantile,15,200,30,0.6,-10.159860724307888
0,0.3,quantile,15,200,30,0.7,-10.251556059600453
0,0.3,quantile,15,200,30,0.8,-11.048243640124507
0,0.3,quantile,15,200,30,0.9,-13.086283407634113
0,0.3,quantile,15,200,40,0.1,-14.026665504058148
0,0.3,quantile,15,200,40,0.2,-12.464891934739075
0,0.3,quantile,15,200,40,0.3,-11.3331373215531
0,0.3,quantile,15,200,40,0.4,-10.605621718885116
0,0.3,quantile,15,200,40,0.5,-10.233697965844318
0,0.3,quantile,15,200,40,0.6,-10.170322238696379
0,0.3,quantile,15,200,40,0.7,-10.396474528524656
0,0.3,quantile,15,200,40,0.8,-11.113187236036461
0,0.3,quantile,15,200,40,0.9,-13.325798383723457
0,0.3,quantile,15,200,50,0.1,-13.838126834394725
0,0.3,quantile,15,200,50,0.2,-12.410707438637314
0,0.3,quantile,15,200,50,0.3,-11.313672507721389
0,0.3,quantile,15,200,50,0.4,-10.571047055959472
0,0.3,quantile,15,200,50,0.5,-10.213124068324472
0,0.3,quantile,15,200,50,0.6,-10.201675871879383
0,0.3,quantile,15,200,50,0.7,-10.352598379786604
0,0.3,quantile,15,200,50,0.8,-10.987432249912274
0,0.3,quantile,15,200,50,0.9,-13.523431741621682
0,0.3,quantile,15,200,10,0.1,-14.276242136266518
0,0.3,quantile,15,200,10,0.2,-12.642026926193527
0,0.3,quantile,15,200,10,0.3,-11.38826183467342
0,0.3,quantile,15,200,10,0.4,-10.540285565796207
0,0.3,quantile,15,200,10,0.5,-10.251697383999943
0,0.3,quantile,15,200,10,0.6,-10.28012388866468
0,0.3,quantile,15,200,10,0.7,-10.642970038363678
0,0.3,quantile,15,200,10,0.8,-10.964647304180955
0,0.3,quantile,15,200,10,0.9,-12.442430362646332
0,0.3,quantile,15,200,20,0.1,-14.17656145416692
0,0.3,quantile,15,200,20,0.2,-12.58566478332567
0,0.3,quantile,15,200,20,0.3,-11.381318127493689
0,0.3,quantile,15,200,20,0.4,-10.475463637380162
0,0.3,quantile,15,200,20,0.5,-10.333924012349035
0,0.3,quantile,15,200,20,0.6,-10.167867821895902
0,0.3,quantile,15,200,20,0.7,-10.48695840045833
0,0.3,quantile,15,200,20,0.8,-10.884463208213198
0,0.3,quantile,15,200,20,0.9,-12.745306416609733
0,0.3,quantile,15,200,30,0.1,-13.96825510565552
0,0.3,quantile,15,200,30,0.2,-12.458604983393155
0,0.3,quantile,15,200,30,0.3,-11.212685952029153
0,0.3,quantile,15,200,30,0.4,-10.488623046946788
0,0.3,quantile,15,200,30,0.5,-10.148444243309623
0,0.3,quantile,15,200,30,0.6,-10.196522233543051
0,0.3,quantile,15,200,30,0.7,-10.329318172150188
0,0.3,quantile,15,200,30,0.8,-10.949092954912945
0,0.3,quantile,15,200,30,0.9,-13.110702362555415
0,0.3,quantile,15,200,40,0.1,-13.761369795271136
0,0.3,quantile,15,200,40,0.2,-12.339424618063036
0,0.3,quantile,15,200,40,0.3,-11.27784099849588
0,0.3,quantile,15,200,40,0.4,-10.507617138192158
0,0.3,quantile,15,200,40,0.5,-10.180683390603818
0,0.3,quantile,15,200,40,0.6,-10.217932317165609
0,0.3,quantile,15,200,40,0.7,-10.20129493503765
0,0.3,quantile,15,200,40,0.8,-11.07103212144937
0,0.3,quantile,15,200,40,0.9,-13.130201775934315
0,0.3,quantile,15,200,50,0.1,-13.629360886473796
0,0.3,quantile,15,200,50,0.2,-12.342275927826773
0,0.3,quantile,15,200,50,0.3,-11.163259801258762
0,0.3,quantile,15,200,50,0.4,-10.490556151710063
