configuration [max_depth - splitter - criterion],iteration,class,accuracy_score,balanced_accuracy_score,balanced_accuracy_score_adjusted,f1_score,recall_score,precision_score
4 - random - gini,3,1,0.8928571428571429,0.9023569023569024,0.8535353535353534,0.8888888888888888,1.0,0.8
4 - random - gini,3,2,0.8928571428571429,0.9023569023569024,0.8535353535353534,0.9,0.8181818181818182,1.0
4 - random - gini,3,3,0.8928571428571429,0.9023569023569024,0.8535353535353534,0.8888888888888888,0.8888888888888888,0.8888888888888888
8 - best - gini,3,1,0.9642857142857143,0.9696969696969697,0.9545454545454546,1.0,1.0,1.0
8 - best - gini,3,2,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9523809523809523,0.9090909090909091,1.0
8 - best - gini,3,3,0.9642857142857143,0.9696969696969697,0.9545454545454546,0.9473684210526315,1.0,0.9
8 - random - gini,3,1,0.7142857142857143,0.7327441077441077,0.5991161616161615,0.9333333333333333,0.875,1.0
8 - random - gini,3,2,0.7142857142857143,0.7327441077441077,0.5991161616161615,0.631578947368421,0.5454545454545454,0.75
8 - random - gini,3,3,0.7142857142857143,0.7327441077441077,0.5991161616161615,0.6363636363636364,0.7777777777777778,0.5384615384615384
None - best - entropy,3,1,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9411764705882353,1.0,0.8888888888888888
None - best - entropy,3,2,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9090909090909091,0.9090909090909091,0.9090909090909091
None - best - entropy,3,3,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9411764705882353,0.8888888888888888,1.0
None - random - entropy,3,1,1.0,1.0,1.0,1.0,1.0,1.0
None - random - entropy,3,2,1.0,1.0,1.0,1.0,1.0,1.0
None - random - entropy,3,3,1.0,1.0,1.0,1.0,1.0,1.0
2 - best - entropy,3,1,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.8888888888888888,1.0,0.8
2 - best - entropy,3,2,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.9,0.8181818181818182,1.0
2 - best - entropy,3,3,0.9285714285714286,0.9393939393939394,0.9090909090909092,1.0,1.0,1.0
2 - random - entropy,3,1,0.8571428571428571,0.8425925925925926,0.7638888888888888,0.8571428571428571,0.75,1.0
2 - random - entropy,3,2,0.8571428571428571,0.8425925925925926,0.7638888888888888,0.8461538461538461,1.0,0.7333333333333333
2 - random - entropy,3,3,0.8571428571428571,0.8425925925925926,0.7638888888888888,0.875,0.7777777777777778,1.0
4 - best - entropy,3,1,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9411764705882353,1.0,0.8888888888888888
4 - best - entropy,3,2,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9090909090909091,0.9090909090909091,0.9090909090909091
4 - best - entropy,3,3,0.9285714285714286,0.9326599326599326,0.8989898989898988,0.9411764705882353,0.8888888888888888,1.0
4 - random - entropy,3,1,0.7857142857142857,0.8000841750841751,0.7001262626262625,0.9333333333333333,0.875,1.0
4 - random - entropy,3,2,0.7857142857142857,0.8000841750841751,0.7001262626262625,0.7,0.6363636363636364,0.7777777777777778
4 - random - entropy,3,3,0.7857142857142857,0.8000841750841751,0.7001262626262625,0.7619047619047619,0.8888888888888888,0.6666666666666666
8 - best - entropy,3,1,0.8928571428571429,0.8956228956228957,0.8434343434343433,0.9411764705882353,1.0,0.8888888888888888
8 - best - entropy,3,2,0.8928571428571429,0.8956228956228957,0.8434343434343433,0.8695652173913043,0.9090909090909091,0.8333333333333334
8 - best - entropy,3,3,0.8928571428571429,0.8956228956228957,0.8434343434343433,0.875,0.7777777777777778,1.0
8 - random - entropy,3,1,0.9285714285714286,0.9393939393939394,0.9090909090909092,1.0,1.0,1.0
8 - random - entropy,3,2,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.9,0.8181818181818182,1.0
8 - random - entropy,3,3,0.9285714285714286,0.9393939393939394,0.9090909090909092,0.9,1.0,0.8181818181818182
None - best - gini,4,1,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9411764705882353,1.0,0.8888888888888888
None - best - gini,4,2,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9655172413793104,0.9333333333333333,1.0
None - best - gini,4,3,0.9642857142857143,0.9777777777777779,0.9666666666666668,1.0,1.0,1.0
None - random - gini,4,1,0.9642857142857143,0.9583333333333334,0.9374999999999999,0.9333333333333333,0.875,1.0
None - random - gini,4,2,0.9642857142857143,0.9583333333333334,0.9374999999999999,0.967741935483871,1.0,0.9375
None - random - gini,4,3,0.9642857142857143,0.9583333333333334,0.9374999999999999,1.0,1.0,1.0
2 - best - gini,4,1,0.7857142857142857,0.8472222222222222,0.7708333333333331,0.7,0.875,0.5833333333333334
2 - best - gini,4,2,0.7857142857142857,0.8472222222222222,0.7708333333333331,0.7692307692307693,0.6666666666666666,0.9090909090909091
2 - best - gini,4,3,0.7857142857142857,0.8472222222222222,0.7708333333333331,1.0,1.0,1.0
2 - random - gini,4,1,0.8571428571428571,0.9111111111111111,0.8666666666666665,0.8421052631578947,1.0,0.7272727272727273
2 - random - gini,4,2,0.8571428571428571,0.9111111111111111,0.8666666666666665,0.8461538461538461,0.7333333333333333,1.0
2 - random - gini,4,3,0.8571428571428571,0.9111111111111111,0.8666666666666665,0.9090909090909091,1.0,0.8333333333333334
4 - best - gini,4,1,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9411764705882353,1.0,0.8888888888888888
4 - best - gini,4,2,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9655172413793104,0.9333333333333333,1.0
4 - best - gini,4,3,0.9642857142857143,0.9777777777777779,0.9666666666666668,1.0,1.0,1.0
4 - random - gini,4,1,0.7857142857142857,0.7583333333333333,0.6375,0.7777777777777778,0.875,0.7
4 - random - gini,4,2,0.7857142857142857,0.7583333333333333,0.6375,0.8571428571428571,0.8,0.9230769230769231
4 - random - gini,4,3,0.7857142857142857,0.7583333333333333,0.6375,0.6,0.6,0.6
8 - best - gini,4,1,0.8928571428571429,0.9138888888888889,0.8708333333333331,0.8235294117647058,0.875,0.7777777777777778
8 - best - gini,4,2,0.8928571428571429,0.9138888888888889,0.8708333333333331,0.896551724137931,0.8666666666666667,0.9285714285714286
8 - best - gini,4,3,0.8928571428571429,0.9138888888888889,0.8708333333333331,1.0,1.0,1.0
8 - random - gini,4,1,0.8571428571428571,0.8666666666666667,0.8,0.8888888888888888,1.0,0.8
8 - random - gini,4,2,0.8571428571428571,0.8666666666666667,0.8,0.8571428571428571,0.8,0.9230769230769231
8 - random - gini,4,3,0.8571428571428571,0.8666666666666667,0.8,0.8,0.8,0.8
None - best - entropy,4,1,0.9285714285714286,0.9111111111111111,0.8666666666666665,0.9411764705882353,1.0,0.8888888888888888
None - best - entropy,4,2,0.9285714285714286,0.9111111111111111,0.8666666666666665,0.9333333333333333,0.9333333333333333,0.9333333333333333
None - best - entropy,4,3,0.9285714285714286,0.9111111111111111,0.8666666666666665,0.8888888888888888,0.8,1.0
None - random - entropy,4,1,0.8571428571428571,0.8666666666666667,0.8,0.8888888888888888,1.0,0.8
None - random - entropy,4,2,0.8571428571428571,0.8666666666666667,0.8,0.8571428571428571,0.8,0.9230769230769231
None - random - entropy,4,3,0.8571428571428571,0.8666666666666667,0.8,0.8,0.8,0.8
2 - best - entropy,4,1,0.8571428571428571,0.9111111111111111,0.8666666666666665,0.8,1.0,0.6666666666666666
2 - best - entropy,4,2,0.8571428571428571,0.9111111111111111,0.8666666666666665,0.8461538461538461,0.7333333333333333,1.0
2 - best - entropy,4,3,0.8571428571428571,0.9111111111111111,0.8666666666666665,1.0,1.0,1.0
2 - random - entropy,4,1,0.8214285714285714,0.8055555555555557,0.7083333333333335,0.75,0.75,0.75
2 - random - entropy,4,2,0.8214285714285714,0.8055555555555557,0.7083333333333335,0.8387096774193549,0.8666666666666667,0.8125
2 - random - entropy,4,3,0.8214285714285714,0.8055555555555557,0.7083333333333335,0.8888888888888888,0.8,1.0
4 - best - entropy,4,1,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9411764705882353,1.0,0.8888888888888888
4 - best - entropy,4,2,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9655172413793104,0.9333333333333333,1.0
4 - best - entropy,4,3,0.9642857142857143,0.9777777777777779,0.9666666666666668,1.0,1.0,1.0
4 - random - entropy,4,1,0.7857142857142857,0.8277777777777778,0.7416666666666667,0.6666666666666666,0.75,0.6
4 - random - entropy,4,2,0.7857142857142857,0.8277777777777778,0.7416666666666667,0.7857142857142857,0.7333333333333333,0.8461538461538461
4 - random - entropy,4,3,0.7857142857142857,0.8277777777777778,0.7416666666666667,1.0,1.0,1.0
8 - best - entropy,4,1,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9411764705882353,1.0,0.8888888888888888
8 - best - entropy,4,2,0.9642857142857143,0.9777777777777779,0.9666666666666668,0.9655172413793104,0.9333333333333333,1.0
8 - best - entropy,4,3,0.9642857142857143,0.9777777777777779,0.9666666666666668,1.0,1.0,1.0
8 - random - entropy,4,1,0.8928571428571429,0.8944444444444445,0.8416666666666666,0.8571428571428571,0.75,1.0
8 - random - entropy,4,2,0.8928571428571429,0.8944444444444445,0.8416666666666666,0.9032258064516129,0.9333333333333333,0.875
8 - random - entropy,4,3,0.8928571428571429,0.8944444444444445,0.8416666666666666,0.9090909090909091,1.0,0.8333333333333334
